bank,term,tfidf
Bank of Abyssinia (BOA),good,22.88124053221076
Bank of Abyssinia (BOA),best,14.04009756408613
Bank of Abyssinia (BOA),work,8.572055161173461
Bank of Abyssinia (BOA),great,8.436762863430774
Bank of Abyssinia (BOA),mobile,8.278027074495673
Bank of Abyssinia (BOA),working,7.71319768733554
Bank of Abyssinia (BOA),please,7.572737297883096
Bank of Abyssinia (BOA),banking,6.952367898710772
Bank of Abyssinia (BOA),worst,6.876596016046938
Bank of Abyssinia (BOA),ever,6.834211388889479
Bank of Abyssinia (BOA),nice,6.722581333560706
Bank of Abyssinia (BOA),like,6.6980816129536205
Bank of Abyssinia (BOA),doesnt,6.6618720922147645
Bank of Abyssinia (BOA),time,6.53173031613881
Bank of Abyssinia (BOA),bad,5.422077010963999
Bank of Abyssinia (BOA),need,5.376795198944294
Bank of Abyssinia (BOA),use,5.256836264543188
Bank of Abyssinia (BOA),update,5.228287212529298
Bank of Abyssinia (BOA),fast,4.898849183498451
Bank of Abyssinia (BOA),service,4.80783081884042
Bank of Abyssinia (BOA),experience,4.75759426540909
Bank of Abyssinia (BOA),cant,4.196776531017133
Bank of Abyssinia (BOA),mobile banking,4.1205492943233395
Bank of Abyssinia (BOA),amazing,4.077344928146241
Bank of Abyssinia (BOA),application,4.019397959939911
Bank of Abyssinia (BOA),money,4.014018959940119
Bank of Abyssinia (BOA),fix,3.874783039533744
Bank of Abyssinia (BOA),thank,3.8747088592812027
Bank of Abyssinia (BOA),doesnt work,3.7734886533272656
Bank of Abyssinia (BOA),phone,3.75935522430487
Bank of Abyssinia (BOA),excellent,3.753231532603058
Bank of Abyssinia (BOA),even,3.731433973440252
Bank of Abyssinia (BOA),developer,3.6763211377805924
Bank of Abyssinia (BOA),problem,3.5286136757457127
Bank of Abyssinia (BOA),better,3.49973395171805
Bank of Abyssinia (BOA),always,3.3035001800178434
Bank of Abyssinia (BOA),crash,3.2630450934153865
Bank of Abyssinia (BOA),ethiopia,3.222865484479809
Bank of Abyssinia (BOA),slow,3.1959085577845205
Bank of Abyssinia (BOA),open,3.1055440128959666
Commercial Bank of Ethiopia,good,21.59794865044323
Commercial Bank of Ethiopia,best,15.117235279452506
Commercial Bank of Ethiopia,nice,10.992564067098073
Commercial Bank of Ethiopia,like,8.346343252736254
Commercial Bank of Ethiopia,application,6.410217219101116
Commercial Bank of Ethiopia,love,4.803572836664273
Commercial Bank of Ethiopia,excellent,4.417551233776464
Commercial Bank of Ethiopia,great,4.257477526975914
Commercial Bank of Ethiopia,smart,4.219674015984184
Commercial Bank of Ethiopia,use,4.215650799420398
Commercial Bank of Ethiopia,update,4.191407170937162
Commercial Bank of Ethiopia,useful,4.058798951979869
Commercial Bank of Ethiopia,work,3.7843687565324196
Commercial Bank of Ethiopia,ethiopia,3.632442135539875
Commercial Bank of Ethiopia,banking,3.56318535972387
Commercial Bank of Ethiopia,transaction,3.535611424864098
Commercial Bank of Ethiopia,service,3.217087256708718
Commercial Bank of Ethiopia,apps,3.0512398923730966
Commercial Bank of Ethiopia,fast,3.0075179693944314
Commercial Bank of Ethiopia,wow,3.0
Commercial Bank of Ethiopia,account,2.944951092830687
Commercial Bank of Ethiopia,bad,2.8470348697162704
Commercial Bank of Ethiopia,day,2.8260867429884815
Commercial Bank of Ethiopia,transfer,2.8147080036046757
Commercial Bank of Ethiopia,easy,2.7470547886533057
Commercial Bank of Ethiopia,sometimes,2.707203396910729
Commercial Bank of Ethiopia,working,2.6953186244515726
Commercial Bank of Ethiopia,cant,2.6416398860058115
Commercial Bank of Ethiopia,mobile banking,2.6385416200900886
Commercial Bank of Ethiopia,option,2.607998780814647
Commercial Bank of Ethiopia,mobile,2.5691831558880702
Commercial Bank of Ethiopia,user,2.5312279579424386
Commercial Bank of Ethiopia,telebirr,2.530357787509701
Commercial Bank of Ethiopia,money,2.499918636519928
Commercial Bank of Ethiopia,amazing,2.4961018793288505
Commercial Bank of Ethiopia,time,2.458171129301307
Commercial Bank of Ethiopia,thank,2.4559470022189127
Commercial Bank of Ethiopia,doesnt,2.4510747974044165
Commercial Bank of Ethiopia,one,2.4280197422608625
Commercial Bank of Ethiopia,statement,2.3541819956959475
Dashen Bank,good,18.86635170809539
Dashen Bank,best,16.00483236500576
Dashen Bank,super,11.707492550629182
Dashen Bank,nice,10.376852990838378
Dashen Bank,amazing,7.976861934794494
Dashen Bank,fast,7.490055898487454
Dashen Bank,banking,7.404961594828192
Dashen Bank,easy,7.381915303227674
Dashen Bank,one,7.279470284123625
Dashen Bank,slow,7.2518106392987125
Dashen Bank,use,6.5614719584020715
Dashen Bank,excellent,6.104183175145028
Dashen Bank,wow,6.041366891685861
Dashen Bank,ever,6.009214185210004
Dashen Bank,great,5.978647666730124
Dashen Bank,working,5.2026674865589815
Dashen Bank,like,5.0489948908286815
Dashen Bank,application,4.688139667378963
Dashen Bank,need,4.574055653101668
Dashen Bank,easy use,4.401087042181791
Dashen Bank,mobile,4.217298572391283
Dashen Bank,time,4.216113827064971
Dashen Bank,service,4.155936726461724
Dashen Bank,amole,4.121752918625716
Dashen Bank,worst,4.106139343229588
Dashen Bank,well,3.84343139002957
Dashen Bank,always,3.8187088697085487
Dashen Bank,step,3.7929409267195866
Dashen Bank,transaction,3.5991542059554713
Dashen Bank,love,3.5930758857918863
Dashen Bank,new,3.4822428133519194
Dashen Bank,open,3.4205506103441086
Dashen Bank,user,3.4099374947831467
Dashen Bank,using,3.3206963401908443
Dashen Bank,make,3.2525818676535025
Dashen Bank,work,3.198617140704027
Dashen Bank,really,3.185603225082208
Dashen Bank,ethiopian,3.0669476938514375
Dashen Bank,account,3.0128533743878396
Dashen Bank,ethiopia,2.9767693094934344
